Zonas,Estado,Region,2015,2016,2017,2018,2019,Total-2015,Total-2016,Total-2017,Total-2018,Total-2019,Ratio-2012,Ratio-2013,Ratio-2014,Ratio-2015,Ratio-2016,Ratio-2017,Ratio-2018,Ratio-2019
PE,PE,PE,58.183699999999995,22.152,54.553999999999995,41.79061599591888,43.414957198443254,58.183699999999995,22.152,54.553999999999995,41.79061599591888,43.414957198443254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RN,RN,RN,7.4592,7.725,10.1616,15.166526342943827,15.756027431906498,7.4592,7.725,10.1616,15.166526342943827,15.756027431906498,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CE,CE,CE,151.389,163.83120000000002,418.91,357.60489693843135,371.50448550583377,151.389,163.83120000000002,418.91,357.60489693843135,371.50448550583377,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PI_Sul,PI,Sul,954.5839489696293,681.0706169848984,1309.6233133784115,1271.5343775065467,1275.570488755551,1064.2658,739.5439999999999,1386.333,1509.0,1486.0,0.896941298846237,0.896941298846237,0.896941298846237,0.896941298846237,0.9209331925955704,0.9446672000005852,0.8426337823105015,0.8583919843577059
PI_Outros,PI,Outros,109.68185103037058,58.47338301510155,76.70968662158852,237.46562249345354,210.42951124444912,1064.2658,739.5439999999999,1386.333,1509.0,1486.0,0.10305870115376309,0.10305870115376309,0.10305870115376309,0.10305870115376309,0.0790668074044297,0.05533279999941465,0.1573662176894987,0.14160801564229417
MA_Sul,MA,Sul,1081.5618890312735,594.080473953834,1441.6937640719054,1419.599194811202,1708.3261453839425,1469.2014,874.4364,1951.9428,1937.0,2165.0,0.7361563152820801,0.7361563152820801,0.7361563152820801,0.7361563152820801,0.6793867157792539,0.7385942682705177,0.7328854903516789,0.7890651941727217
MA_Outros,MA,Outros,387.63951096872654,280.355926046166,510.2490359280946,517.4008051887979,456.67385461605755,1469.2014,874.4364,1951.9428,1937.0,2165.0,0.2638436847179199,0.2638436847179199,0.2638436847179199,0.2638436847179199,0.3206132842207461,0.26140573172948234,0.26711450964832106,0.2109348058272783
TO_Centro,TO,Centro,415.92731359923016,196.5698982476507,344.5409753290833,311.07225866909556,395.8915156226202,1050.2422000000001,540.2148,902.3900000000001,841.0,1033.969586721782,0.3960299001499179,0.3960299001499179,0.3960299001499179,0.3960299001499179,0.363873589260514,0.38180938987475843,0.36988377963031577,0.38288506809740985
TO_Leste,TO,Leste,488.1482939218587,230.66927271372566,415.55465406868746,389.4463920783712,475.90787765629653,1050.2422000000001,540.2148,902.3900000000001,841.0,1033.969586721782,0.4647959241419347,0.4647959241419347,0.4647959241419347,0.4647959241419347,0.4269954705308438,0.4605044981312818,0.4630753770254117,0.4602726074034445
TO_Norte,TO,Norte,74.66468111530739,68.156235142535,97.996730654331,92.75801416062738,112.12749842356254,1050.2422000000001,540.2148,902.3900000000001,841.0,1033.969586721782,0.0710928213656882,0.0710928213656882,0.0710928213656882,0.0710928213656882,0.12616506460492197,0.10859687125780537,0.11029490387708368,0.1084437103987407
TO_Sul,TO,Sul,71.5019113636039,44.81939389608859,44.2976399478982,47.72333509190595,50.04269501930265,1050.2422000000001,540.2148,902.3900000000001,841.0,1033.969586721782,0.06808135434245918,0.06808135434245918,0.06808135434245918,0.06808135434245918,0.08296587560372021,0.049089240736154206,0.056745939467189005,0.048398614100404885
PA_Nordeste,PA,Nordeste,266.5944788803935,189.6460593662573,266.08723014840433,263.4437751590292,375.07229053195454,706.8384000000001,646.8544,844.7084,837.0,1211.0,0.3771646799047611,0.3771646799047611,0.3771646799047611,0.3771646799047611,0.2931819886612154,0.3150048349802184,0.31474764057231686,0.309721131735718
PA_Noroeste,PA,Noroeste,67.11851598393827,82.74591682202336,64.97402869804786,60.75122261302087,73.31500075665443,706.8384000000001,646.8544,844.7084,837.0,1211.0,0.0949559559638218,0.0949559559638218,0.0949559559638218,0.0949559559638218,0.12792046683461278,0.07691888549711103,0.07258210586979794,0.060540875934479293
PA_Sudeste,PA,Sudeste,39.124696010498276,24.908017104573094,34.89995160123449,32.631726420466705,39.380195892464116,706.8384000000001,646.8544,844.7084,837.0,1211.0,0.0553516843602417,0.0553516843602417,0.0553516843602417,0.0553516843602417,0.03850637346607381,0.04131597554994657,0.03898653096829953,0.03251874144712148
PA_Outros,PA,Outros,334.00070912517,349.5544067071463,478.7471895523134,480.1732758074833,723.2325128189268,706.8384000000001,646.8544,844.7084,837.0,1211.0,0.4725276797711753,0.4725276797711753,0.4725276797711753,0.4725276797711753,0.5403911710380981,0.566760303972724,0.5736837225895858,0.5972192508826811
AP,AP,AP,1.6325999999999998,1.6236,1.6354000000000002,1.8107967472112236,1.8811798151750831,1.6325999999999998,1.6236,1.6354000000000002,1.8107967472112236,1.8811798151750831,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RO,RO,RO,651.2575,653.8137,794.9787,937.9377937838433,974.0,651.2575,653.8137,794.9787,937.9377937838433,974.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AC,AC,AC,96.31160000000001,96.7032,82.015,92.66055518721977,96.26213784046622,96.31160000000001,96.7032,82.015,92.66055518721977,96.26213784046622,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AM,AM,AM,39.37,13.581,30.8172,33.79492732582614,35.108487597276,39.37,13.581,30.8172,33.79492732582614,35.108487597276,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RR,RR,RR,15.3946,13.9656,45.6,8.92221472562196,9.269008393320295,15.3946,13.9656,45.6,8.92221472562196,9.269008393320295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
