States,Year,value
MT_Norte,2031/32,799.6500955201254
GO,2031/32,8946.397627152879
GO_Sudoeste,2031/32,5278.374600020199
GO_Leste,2031/32,1878.7435017021046
GO_Noroeste,2031/32,1789.2795254305759
DF,2031/32,497.2637579774596
BA,2031/32,1981.7721346510443
BA_Oeste Norte,2031/32,396.354426930209
BA_Oeste Sul,2031/32,198.17721346510444
BA_Outros,2031/32,1387.240494255731
SE,2031/32,204.10837397515692
PB,2031/32,437.6163028444439
AL,2031/32,98.66605914269533
PE,2031/32,1929.896871565746
RN,2031/32,224.48665470501723
CE,2031/32,1605.0717528460793
PI,2031/32,614.2792222082232
PI_Sul,2031/32,337.8535722145228
PI_Outros,2031/32,276.42564999370046
MA,2031/32,756.8788548070107
MA_Sul,2031/32,264.90759918245374
MA_Outros,2031/32,491.971255624557
TO,2031/32,739.3152295046527
TO_Centro,2031/32,238.83118147709195
TO_Leste,2031/32,27.038407657723987
TO_Norte,2031/32,366.68561684299635
TO_Sul,2031/32,106.76002352684047
PA,2031/32,891.3654263268022
PA_Nordeste,2031/32,62.395579842876145
PA_Noroeste,2031/32,71.30923410614417
PA_Sudeste,2031/32,142.61846821228835
PA_Outros,2031/32,615.0421441654935
AP,2031/32,82.09213626725744
RO,2031/32,714.2546359751817
AC,2031/32,120.60547982594997
AM,2031/32,200.69853966812624
RR,2031/32,133.30733275165636
RS,2036/37,6244.834896468049
SC,2036/37,6914.1300167014615
PR,2036/37,24293.922550053947
SP,2036/37,9838.548319029516
RJ,2036/37,135.73056338273324
MG,2036/37,8318.84999994451
MG_Triângulo,2036/37,3577.1054999761395
MG_Noroeste,2036/37,998.2619999933412
MG_Sul,2036/37,1663.769999988902
MG_Outros,2036/37,2079.7124999861276
ES,2036/37,635.8873090700885
MS,2036/37,7557.955939741602
MS_Sul,2036/37,5290.569157819122
MS_Norte,2036/37,2267.3867819224806
MT,2036/37,11255.960629964953
MT_Médio Norte,2036/37,3827.026614188084
MT_Oeste,2036/37,3376.7881889894857
MT_Sudeste,2036/37,1350.7152755957943
MT_Nordeste,2036/37,787.9172440975468
MT_Nordeste_Sul,2036/37,787.9172440975468
MT_Norte,2036/37,1125.5960629964954
GO,2036/37,10934.444961752293
GO_Sudoeste,2036/37,6451.322527433853
GO_Leste,2036/37,2296.2334419679814
GO_Noroeste,2036/37,2186.888992350459
DF,2036/37,539.459059048484
BA,2036/37,2167.6279598863784
BA_Oeste Norte,2036/37,433.5255919772758
BA_Oeste Sul,2036/37,216.76279598863786
BA_Outros,2036/37,1517.3395719204648
SE,2036/37,224.86166488230023
PB,2036/37,480.9742435221642
AL,2036/37,115.60488892797362
PE,2036/37,2064.9857912107336
