States,Year,value
SE,2019/20,0.0
PB,2019/20,0.0
AL,2019/20,0.0
PE,2019/20,121.51580905463365
RN,2019/20,0.0
CE,2019/20,0.0
PI,2019/20,631.0959093389268
PI_Sul,2019/20,631.7704021752162
PI_Outros,2019/20,0.0
MA,2019/20,346.7667313294479
MA_Sul,2019/20,354.05901033824966
MA_Outros,2019/20,0.0
TO,2019/20,211.8678977633167
TO_Centro,2019/20,235.25414330689532
TO_Leste,2019/20,0.0
TO_Norte,2019/20,0.0
TO_Sul,2019/20,0.0
PA,2019/20,2.9810041373011273
PA_Nordeste,2019/20,0.0
PA_Noroeste,2019/20,1.3090524753299686
PA_Sudeste,2019/20,0.0
PA_Outros,2019/20,18.20849787520012
AP,2019/20,0.5983542436650802
RO,2019/20,92.78567475823773
AC,2019/20,0.031218482278178097
AM,2019/20,425.6351022343735
RR,2019/20,2.1072475537770217
RS,2020/21,7360.348684659521
SC,2020/21,1075.9824712162904
PR,2020/21,9395.712811767495
SP,2020/21,3417.337167910701
RJ,2020/21,0.0
MG,2020/21,2770.882366641524
MG_Triângulo,2020/21,2808.457792502279
MG_Noroeste,2020/21,0.0
MG_Sul,2020/21,0.0
MG_Outros,2020/21,0.0
ES,2020/21,0.0
MS,2020/21,2706.554649706757
MS_Sul,2020/21,2027.4755966543999
MS_Norte,2020/21,679.0790530523572
MT,2020/21,12872.624865601369
MT_Médio Norte,2020/21,2920.722171437513
MT_Oeste,2020/21,719.1246144460905
MT_Sudeste,2020/21,7949.931859410595
MT_Nordeste,2020/21,448.58634295661915
MT_Nordeste_Sul,2020/21,417.93710966969593
MT_Norte,2020/21,416.32276768085785
GO,2020/21,6493.591640760063
GO_Sudoeste,2020/21,3905.0409856635906
GO_Leste,2020/21,2603.3235775053076
GO_Noroeste,2020/21,0.0
DF,2020/21,0.282267799755314
BA,2020/21,2046.8656315548078
BA_Oeste Norte,2020/21,2063.0953432536908
BA_Oeste Sul,2020/21,0.0
BA_Outros,2020/21,0.0
SE,2020/21,0.0
PB,2020/21,0.0
AL,2020/21,0.0
PE,2020/21,121.50360302228269
RN,2020/21,0.0
CE,2020/21,0.0
PI,2020/21,644.8275907131444
PI_Sul,2020/21,645.5532981815866
PI_Outros,2020/21,0.0
MA,2020/21,355.81408347191353
MA_Sul,2020/21,363.5039630086858
MA_Outros,2020/21,0.0
TO,2020/21,280.68444300814707
TO_Centro,2020/21,306.1711521257138
TO_Leste,2020/21,0.0
TO_Norte,2020/21,0.0
TO_Sul,2020/21,0.0
PA,2020/21,3.1632662281953117
PA_Nordeste,2020/21,0.0
PA_Noroeste,2020/21,1.8037311556801447
PA_Sudeste,2020/21,0.0
PA_Outros,2020/21,21.427747339028468
AP,2020/21,0.7063115662017048
RO,2020/21,92.86998656774338
AC,2020/21,0.03139162516452021
AM,2020/21,445.06537871839305
RR,2020/21,2.132014542423664
RS,2021/22,7353.021217373781
SC,2021/22,1096.4495373130126
PR,2021/22,9328.448077400293
SP,2021/22,3471.3536213020734
RJ,2021/22,0.0
MG,2021/22,2851.5301207127463
MG_Triângulo,2021/22,2891.4265931757286
MG_Noroeste,2021/22,0.0
MG_Sul,2021/22,0.0
MG_Outros,2021/22,0.0
ES,2021/22,0.0
MS,2021/22,2843.4206170753628
MS_Sul,2021/22,2129.8442017080015
MS_Norte,2021/22,713.5764153673609
MT,2021/22,13899.387738446063
MT_Médio Norte,2021/22,3006.3186513392898
MT_Oeste,2021/22,921.7918547622734
MT_Sudeste,2021/22,8222.373075993897
MT_Nordeste,2021/22,596.2525532108673
MT_Nordeste_Sul,2021/22,577.211003924679
MT_Norte,2021/22,575.44059921506
GO,2021/22,6710.944825493307
GO_Sudoeste,2021/22,4036.6711091103416
GO_Leste,2021/22,2690.3506467479283
GO_Noroeste,2021/22,0.0
DF,2021/22,0.22218356160916297
BA,2021/22,2074.8241061779404
BA_Oeste Norte,2021/22,2092.037813316436
BA_Oeste Sul,2021/22,0.0
BA_Outros,2021/22,0.0
SE,2021/22,0.0
PB,2021/22,0.0
AL,2021/22,0.0
PE,2021/22,121.45601934129351
RN,2021/22,0.0
CE,2021/22,0.0
PI,2021/22,658.2518284610251
PI_Sul,2021/22,659.0301958587983
PI_Outros,2021/22,0.0
MA,2021/22,364.597763595778
MA_Sul,2021/22,372.69595462674397
MA_Outros,2021/22,0.0
TO,2021/22,348.942563621604
TO_Centro,2021/22,377.24991711103405
TO_Leste,2021/22,0.0
TO_Norte,2021/22,0.0
TO_Sul,2021/22,0.0
PA,2021/22,2.9677566061537703
PA_Nordeste,2021/22,0.0
PA_Noroeste,2021/22,2.416115714693379
PA_Sudeste,2021/22,0.0
PA_Outros,2021/22,25.104691080606713
AP,2021/22,0.7054170025885932
RO,2021/22,92.70200959574868
AC,2021/22,0.03135186678171525
AM,2021/22,464.8445583047369
RR,2021/22,2.1423775634172086
RS,2022/23,7335.855388339671
SC,2022/23,1116.21710973161
PR,2022/23,9365.245667842331
SP,2022/23,3524.0041990283657
RJ,2022/23,0.0
MG,2022/23,2931.7111051473244
MG_Triângulo,2022/23,2974.2280605284313
MG_Noroeste,2022/23,0.0
MG_Sul,2022/23,0.0
MG_Outros,2022/23,0.0
ES,2022/23,0.0
MS,2022/23,2980.4199824497164
MS_Sul,2022/23,2232.3065976843222
MS_Norte,2022/23,748.1133847653944
MT,2022/23,14990.226287782358
MT_Médio Norte,2022/23,3083.019388165345
MT_Oeste,2022/23,1150.3746339869358
MT_Sudeste,2022/23,8479.742681825104
MT_Nordeste,2022/23,763.0941462735294
MT_Nordeste_Sul,2022/23,757.9752841770351
MT_Norte,2022/23,756.0201533544063
GO,2022/23,6928.271408360985
GO_Sudoeste,2022/23,4168.269189858609
GO_Leste,2022/23,2777.336009920388
GO_Noroeste,2022/23,0.0
DF,2022/23,0.06916730387227243
BA,2022/23,2100.274927879423
BA_Oeste Norte,2022/23,2118.4995887145164
BA_Oeste Sul,2022/23,0.0
BA_Outros,2022/23,0.0
SE,2022/23,0.0
PB,2022/23,0.0
AL,2022/23,0.0
PE,2022/23,121.39082021121655
RN,2022/23,0.0
CE,2022/23,0.0
PI,2022/23,670.5088123709204
PI_Sul,2022/23,671.3329408157322
PI_Outros,2022/23,0.0
MA,2022/23,372.2106125051764
MA_Sul,2022/23,380.64469920053216
MA_Outros,2022/23,0.0
TO,2022/23,415.1373460429239
TO_Centro,2022/23,446.124422534556
TO_Leste,2022/23,0.0
TO_Norte,2022/23,0.0
TO_Sul,2022/23,0.0
PA,2022/23,1.0632916279804903
PA_Nordeste,2022/23,0.0
PA_Noroeste,2022/23,2.918833073111623
PA_Sudeste,2022/23,0.0
PA_Outros,2022/23,27.376668452358018
AP,2022/23,0.6877019175097218
RO,2022/23,91.61865315401957
AC,2022/23,0.030564529667098748
AM,2022/23,485.03541386520493
RR,2022/23,2.101311414613039
RS,2026/27,7298.278424654795
SC,2026/27,1203.388573122523
PR,2026/27,8640.701330967033
SP,2026/27,3750.1085582086553
RJ,2026/27,0.0
MG,2026/27,3286.76955855117
MG_Triângulo,2026/27,3333.897956609329
MG_Noroeste,2026/27,0.0
MG_Sul,2026/27,0.0
MG_Outros,2026/27,0.0
ES,2026/27,0.0
MS,2026/27,3598.7757851614865
MS_Sul,2026/27,2695.537080579181
MS_Norte,2026/27,903.2387045823056
MT,2026/27,20355.802974171747
MT_Médio Norte,2026/27,3766.9783345844317
MT_Oeste,2026/27,1993.1701640238314
MT_Sudeste,2026/27,10418.817840568145
MT_Nordeste,2026/27,1375.3514999667614
MT_Nordeste_Sul,2026/27,1401.9091412776575
MT_Norte,2026/27,1399.5759937509213
GO,2026/27,7881.730717919873
GO_Sudoeste,2026/27,4742.319894722138
GO_Leste,2026/27,3159.019434064955
GO_Noroeste,2026/27,0.0
DF,2026/27,0.0
BA,2026/27,2215.15551666523
BA_Oeste Norte,2026/27,2235.736655639896
BA_Oeste Sul,2026/27,0.0
BA_Outros,2026/27,0.0
SE,2026/27,0.0
PB,2026/27,0.0
AL,2026/27,0.0
PE,2026/27,121.18024790015241
RN,2026/27,0.0
CE,2026/27,0.0
PI,2026/27,726.6268787086738
PI_Sul,2026/27,727.562100142937
PI_Outros,2026/27,0.0
MA,2026/27,409.66228526878405
MA_Sul,2026/27,418.99508339942645
MA_Outros,2026/27,0.0
TO,2026/27,684.4270835098934
TO_Centro,2026/27,720.9791300414305
TO_Leste,2026/27,0.0
TO_Norte,2026/27,0.0
TO_Sul,2026/27,0.0
PA,2026/27,0.0
PA_Nordeste,2026/27,0.0
PA_Noroeste,2026/27,3.919170347408551
PA_Sudeste,2026/27,0.0
PA_Outros,2026/27,30.1293907515441
AP,2026/27,0.6825318615966242
RO,2026/27,88.98806678897236
AC,2026/27,0.030334749404294408
AM,2026/27,571.0018559495046
RR,2026/27,2.136071937219065
RS,2031/32,7256.775298146094
SC,2031/32,1318.8534642646207
PR,2031/32,11877.364779610753
SP,2031/32,3931.808664609439
RJ,2031/32,0.0
MG,2031/32,3437.4226419056345
MG_Triângulo,2031/32,3490.915852242493
MG_Noroeste,2031/32,0.0
MG_Sul,2031/32,0.0
MG_Outros,2031/32,0.0
ES,2031/32,0.0
MS,2031/32,4763.149635964855
MS_Sul,2031/32,3443.2855258510986
MS_Norte,2031/32,1319.8641101137569
MT,2031/32,23546.033701740846
MT_Médio Norte,2031/32,4363.786167425903
MT_Oeste,2031/32,2305.6624839792103
MT_Sudeste,2031/32,12058.051628103354
MT_Nordeste,2031/32,1581.9513420558483
MT_Nordeste_Sul,2031/32,1619.6976360664548
MT_Norte,2031/32,1616.884444110079
GO,2031/32,9352.095569867908
GO_Sudoeste,2031/32,5483.102602628683
GO_Leste,2031/32,3891.559672996444
GO_Noroeste,2031/32,0.0
DF,2031/32,0.0
BA,2031/32,2251.4955477107724
BA_Oeste Norte,2031/32,2274.8130214844405
BA_Oeste Sul,2031/32,0.0
BA_Outros,2031/32,0.0
SE,2031/32,0.0
PB,2031/32,0.0
AL,2031/32,0.0
PE,2031/32,121.01795781676954
RN,2031/32,0.0
CE,2031/32,0.0
PI,2031/32,780.3081895437138
PI_Sul,2031/32,781.415790467136
PI_Outros,2031/32,0.0
MA,2031/32,448.26550614444056
MA_Sul,2031/32,459.02802256713625
MA_Outros,2031/32,0.0
TO,2031/32,744.4168210158296
TO_Centro,2031/32,787.7948707261116
TO_Leste,2031/32,0.0
TO_Norte,2031/32,0.0
TO_Sul,2031/32,0.0
PA,2031/32,0.0
PA_Nordeste,2031/32,0.0
PA_Noroeste,2031/32,0.1844504206829587
PA_Sudeste,2031/32,0.0
PA_Outros,2031/32,34.1219729674158
AP,2031/32,0.6812894774222652
RO,2031/32,85.19295369323768
AC,2031/32,0.03027953232987845
AM,2031/32,593.259437643078
RR,2031/32,2.195266093916188
RS,2036/37,7214.608963740615
SC,2036/37,1446.3338962909368
PR,2036/37,14757.245187779177
SP,2036/37,4123.399480308855
RJ,2036/37,0.0
MG,2036/37,3595.6260446594156
MG_Triângulo,2036/37,3656.215460483192
MG_Noroeste,2036/37,0.0
MG_Sul,2036/37,0.0
MG_Outros,2036/37,0.0
ES,2036/37,0.0
MS,2036/37,6310.587632013408
MS_Sul,2036/37,4399.022198288924
MS_Norte,2036/37,1911.5654337244848
MT,2036/37,27252.729948928893
MT_Médio Norte,2036/37,5063.889085760021
MT_Oeste,2036/37,2670.246179104731
MT_Sudeste,2036/37,13957.676884980825
MT_Nordeste,2036/37,1819.159066626476
MT_Nordeste_Sul,2036/37,1872.554052958563
MT_Norte,2036/37,1869.204679498282
GO,2036/37,11103.214136659244
GO_Sudoeste,2036/37,6339.262748342001
GO_Leste,2036/37,4789.866216710653
GO_Noroeste,2036/37,0.0
DF,2036/37,0.0
BA,2036/37,2287.943672733317
BA_Oeste Norte,2036/37,2314.3062202780607
BA_Oeste Sul,2036/37,0.0
BA_Outros,2036/37,0.0
SE,2036/37,0.0
PB,2036/37,0.0
AL,2036/37,0.0
PE,2036/37,120.90803022239676
RN,2036/37,0.0
CE,2036/37,0.0
PI,2036/37,837.6862706805316
