Year,Month,Estado,UF,Tonnes
2012,7,GOIÁS,GO,165247.543
2012,7,MATO GROSSO,MT,454941.304
2012,7,MATO GROSSO DO SUL,MS,52685.078
2012,7,MINAS GERAIS,MG,25243.345
2012,7,PARANÁ,PR,323267.489
2012,7,PARÁ,PA,1.0
2012,7,RIO GRANDE DO SUL,RS,293240.56399999995
2012,7,SANTA CATARINA,SC,36915.809
2012,7,SÃO PAULO,SP,40893.954
2012,8,BAHIA,BA,82820.95
2012,8,GOIÁS,GO,122037.427
2012,8,MATO GROSSO,MT,373320.371
2012,8,MATO GROSSO DO SUL,MS,59232.112
2012,8,MINAS GERAIS,MG,27292.767
2012,8,PARANÁ,PR,322166.745
2012,8,RIO GRANDE DO SUL,RS,284690.89400000003
2012,8,SANTA CATARINA,SC,14126.176
2012,8,SÃO PAULO,SP,69706.396
2012,9,BAHIA,BA,92492.895
2012,9,GOIÁS,GO,138615.544
2012,9,MATO GROSSO,MT,334814.68
2012,9,MATO GROSSO DO SUL,MS,38000.512
2012,9,MINAS GERAIS,MG,29788.432
2012,9,PARANÁ,PR,180744.506
2012,9,RIO GRANDE DO SUL,RS,297500.39400000003
2012,9,SANTA CATARINA,SC,13254.684
2012,9,SÃO PAULO,SP,13526.403
2012,10,BAHIA,BA,114080.872
2012,10,GOIÁS,GO,118489.93100000001
2012,10,MATO GROSSO,MT,486861.002
2012,10,MATO GROSSO DO SUL,MS,36507.270000000004
2012,10,MINAS GERAIS,MG,3971.5699999999997
2012,10,PARANÁ,PR,391524.467
2012,10,RIO GRANDE DO SUL,RS,161709.941
2012,10,SANTA CATARINA,SC,22776.58
2012,10,SÃO PAULO,SP,41671.778
2012,11,BAHIA,BA,104318.144
2012,11,GOIÁS,GO,106300.434
2012,11,MATO GROSSO,MT,367451.623
2012,11,MATO GROSSO DO SUL,MS,16961.731
2012,11,MINAS GERAIS,MG,12983.352
2012,11,PARANÁ,PR,114402.799
2012,11,RIO GRANDE DO SUL,RS,235959.553
2012,11,SANTA CATARINA,SC,5009.0
2012,11,SÃO PAULO,SP,6537.52
2012,12,BAHIA,BA,59951.648
2012,12,GOIÁS,GO,152318.423
2012,12,MATO GROSSO,MT,208200.113
2012,12,MATO GROSSO DO SUL,MS,33082.704
2012,12,MINAS GERAIS,MG,12187.375
2012,12,PARANÁ,PR,270470.389
2012,12,RIO GRANDE DO SUL,RS,63937.803
2012,12,SANTA CATARINA,SC,913.01
2012,12,SÃO PAULO,SP,22559.365
2013,1,BAHIA,BA,100681.906
2013,1,GOIÁS,GO,86880.87899999999
2013,1,MATO GROSSO,MT,226507.899
2013,1,MATO GROSSO DO SUL,MS,14793.684000000001
2013,1,MINAS GERAIS,MG,20564.525
2013,1,PARANÁ,PR,102455.225
2013,1,RIO GRANDE DO SUL,RS,42468.373
2013,1,SANTA CATARINA,SC,2035.288
2013,1,SÃO PAULO,SP,20149.676
2013,2,GOIÁS,GO,61481.437000000005
2013,2,MATO GROSSO,MT,269277.654
2013,2,MATO GROSSO DO SUL,MS,49338.759
2013,2,MINAS GERAIS,MG,412.3
2013,2,PARANÁ,PR,213849.8
2013,2,RIO GRANDE DO SUL,RS,54809.136999999995
2013,2,SANTA CATARINA,SC,12120.657
2013,2,SÃO PAULO,SP,8384.762
2013,3,BAHIA,BA,34640.04
2013,3,GOIÁS,GO,79311.387
2013,3,MATO GROSSO,MT,248355.065
2013,3,MATO GROSSO DO SUL,MS,10232.979
2013,3,MINAS GERAIS,MG,3834.556
2013,3,PARANÁ,PR,161451.781
2013,3,RIO GRANDE DO SUL,RS,56632.032
2013,3,SANTA CATARINA,SC,32.818
2013,3,SÃO PAULO,SP,22401.634
2013,4,BAHIA,BA,65998.368
2013,4,GOIÁS,GO,77472.504
2013,4,MATO GROSSO,MT,538204.936
2013,4,MATO GROSSO DO SUL,MS,34544.732
2013,4,MINAS GERAIS,MG,15425.453000000001
2013,4,PARANÁ,PR,269971.175
2013,4,RIO GRANDE DO SUL,RS,164928.732
2013,4,SANTA CATARINA,SC,8500.0
2013,4,SÃO PAULO,SP,81435.344
2013,4,ZONA NÃO DECLARADA,ND,0.002
2013,5,BAHIA,BA,42155.902
2013,5,GOIÁS,GO,161220.923
2013,5,MATO GROSSO,MT,425300.137
2013,5,MATO GROSSO DO SUL,MS,36281.417
2013,5,MINAS GERAIS,MG,17796.320000000003
