Ano,Mes,Estado_Production,Biodiesel_Production (m3)
2017,9,MS,23910.784
2017,9,MT,82484.951
2017,9,PR,43796.319
2017,9,RJ,7164.174
2017,9,RO,798.297
2017,9,RS,112957.022
2017,9,SC,10743.275
2017,9,SP,19964.512
2017,9,TO,0
2017,10,BA,29744.542
2017,10,GO,62261.599
2017,10,MG,10941.387
2017,10,MS,22810.814
2017,10,MT,83153.869
2017,10,PR,44003.849
2017,10,RJ,8080.48
2017,10,RO,829.198
2017,10,RS,111150.971
2017,10,SC,10929.946
2017,10,SP,19062.369
2017,10,TO,0
2017,11,BA,29256.41
2017,11,GO,61462.694
2017,11,MG,10692.964
2017,11,MS,24534.663
2017,11,MT,76564.516
2017,11,PR,44147.213
2017,11,RJ,8553.029
2017,11,RO,988.246
2017,11,RS,103564.169
2017,11,SC,10295.946
2017,11,SP,9989.605
2017,11,TO,0
2017,12,BA,26171.292
2017,12,GO,57981.848
2017,12,MG,8910.451
2017,12,MS,22167.114
2017,12,MT,73697.871
2017,12,PR,41169.279
2017,12,RJ,10491.116
2017,12,RO,962.778
2017,12,RS,97082.318
2017,12,SC,8771.529
2017,12,SP,9627.692
2017,12,TO,0
2018,1,BA,28595.409
2018,1,GO,40567.703
2018,1,MG,10836.396
2018,1,MS,26266.058
2018,1,MT,71620.246
2018,1,PR,43610.175
2018,1,RJ,827.184
2018,1,RO,387.77
2018,1,RS,85157.523
2018,1,SC,7520.459
2018,1,SP,14789.373
2018,1,TO,0
2018,2,BA,27756.105
2018,2,GO,40321.115
2018,2,MG,10630.135
2018,2,MS,28764.224
2018,2,MT,75410.694
2018,2,PR,49928.895
2018,2,RJ,761.472
2018,2,RO,469.626
2018,2,RS,85763.613
2018,2,SC,8043.003
2018,2,SP,27831.996
2018,2,TO,0
2018,3,BA,28252.781
2018,3,GO,66558.199
2018,3,MG,10369.605
2018,3,MS,29119.082
2018,3,MT,96811.461
2018,3,PR,48823.499
2018,3,RJ,9096.551
2018,3,RO,404.842
2018,3,RS,114277.904
2018,3,SC,10881.925
2018,3,SP,23075.277
2018,3,TO,6565.349
2018,4,BA,30832.547
2018,4,GO,66201.996
2018,4,MG,10914.17
2018,4,MS,27638.585
2018,4,MT,95174.526
2018,4,PR,46793.427
