Ano,Mes,Estado_Consumption,Biodiesel_Consumption (m3)
2014,4,RN,2625.325014
2014,4,RO,0
2014,4,RR,0
2014,4,RS,35301.06878
2014,4,SC,4319.788597
2014,4,SE,111.1682475
2014,4,SP,74646.47328
2014,4,TO,0
2014,5,AL,519.0219341
2014,5,AM,0
2014,5,BA,16465.28897
2014,5,CE,3053.236757
2014,5,DF,14466.84347
2014,5,ES,3556.968215
2014,5,GO,11910.1221
2014,5,MA,11289.7487
2014,5,MG,34344.92739
2014,5,MS,680.5288964
2014,5,MT,7211.770579
2014,5,PA,8100.630733
2014,5,PB,1125.077318
2014,5,PE,5476.184994
2014,5,PI,620.9260297
2014,5,PR,9840.24058
2014,5,RJ,12747.28177
2014,5,RN,2436.492589
2014,5,RO,0
2014,5,RR,0
2014,5,RS,33056.95715
2014,5,SC,4641.826302
2014,5,SE,186.825182
2014,5,SP,54884.78144
2014,5,TO,1832.792894
2014,6,AL,334.3312756
2014,6,AM,96.15334166
2014,6,BA,13353.99059
2014,6,CE,3480.162964
2014,6,DF,15530.78727
2014,6,ES,3985.40135
2014,6,GO,14623.6984
2014,6,MA,11469.00418
2014,6,MG,31994.74708
2014,6,MS,999.1272043
2014,6,MT,6716.274767
2014,6,PA,9489.683761
2014,6,PB,952.9954762
2014,6,PE,6631.684918
2014,6,PI,584.5740435
2014,6,PR,11903.6688
2014,6,RJ,10426.47458
2014,6,RN,2503.597728
2014,6,RO,0
2014,6,RR,131.0252166
2014,6,RS,37651.57119
2014,6,SC,5351.039405
2014,6,SE,71.67677707
2014,6,SP,56950.07438
2014,6,TO,3086.40429
2014,7,AL,547.0438923
2014,7,AM,0
2014,7,BA,20866.19493
2014,7,CE,5505.241212
2014,7,DF,16133.63263
2014,7,ES,2642.905793
2014,7,GO,14663.69167
2014,7,MA,11487.39734
2014,7,MG,35708.38534
2014,7,MS,312.102646
2014,7,MT,9708.831908
2014,7,PA,10172.84814
2014,7,PB,1472.551478
2014,7,PE,8337.550147
2014,7,PI,276.7542329
2014,7,PR,10188.46981
2014,7,RJ,7270.863338
2014,7,RN,3605.557206
2014,7,RO,195.1693096
2014,7,RR,0
2014,7,RS,55051.47661
2014,7,SC,4225.449288
2014,7,SE,64.67740342
2014,7,SP,75362.01852
2014,7,TO,1814.844157
2014,8,AL,986.9598052
2014,8,AM,0
2014,8,BA,28697.45758
2014,8,CE,6564.645316
2014,8,DF,19502.87003
2014,8,ES,4734.246816
2014,8,GO,16077.11076
2014,8,MA,10844.48528
2014,8,MG,35586.69566
2014,8,MS,968.2277051
2014,8,MT,10863.57508
2014,8,PA,12135.32461
2014,8,PB,3055.771855
2014,8,PE,9842.770241
2014,8,PI,237.9268736
2014,8,PR,9906.952936
2014,8,RJ,6076.30958
2014,8,RN,4763.039827
2014,8,RO,0
2014,8,RR,0
2014,8,RS,54317.33624
2014,8,SC,4760.736927
2014,8,SE,682.4776172
2014,8,SP,66649.49481
2014,8,TO,881.0494408
2014,9,AL,348.762495
2014,9,AM,0
2014,9,BA,14797.3012
2014,9,CE,3003.94298
2014,9,DF,24515.85804
2014,9,ES,8681.802953
2014,9,GO,16830.57922
2014,9,MA,18715.38222
2014,9,MG,32359.52979
2014,9,MS,595.3123037
2014,9,MT,6336.011127
2014,9,PA,13904.72813
2014,9,PB,1432.885689
2014,9,PE,7045.88911
2014,9,PI,0
2014,9,PR,10145.61867
2014,9,RJ,14828.29625
2014,9,RN,2802.448476
2014,9,RO,0
2014,9,RR,0
2014,9,RS,51501.97038
2014,9,SC,6982.089795
2014,9,SE,133.0134333
2014,9,SP,75628.75045
2014,9,TO,1234.953293
2014,10,AL,845.4783614
2014,10,AM,27.89563549
2014,10,BA,16966.88498
2014,10,CE,5323.059789
2014,10,DF,19297.98411
2014,10,ES,6938.657522
2014,10,GO,17059.66091
2014,10,MA,20408.93088
2014,10,MG,34205.11015
2014,10,MS,295.8234834
2014,10,MT,6966.772781
2014,10,PA,8443.533507
2014,10,PB,2039.724868
2014,10,PE,8462.355296
2014,10,PI,55.56432702
2014,10,PR,11064.38078
2014,10,RJ,12110.32597
2014,10,RN,3354.720467
2014,10,RO,0
2014,10,RR,0
2014,10,RS,56017.24661
2014,10,SC,7142.232147
2014,10,SE,610.8691826
2014,10,SP,82377.48526
2014,10,TO,847.355987
2014,11,AL,1406.404809
2014,11,AM,0
2014,11,BA,19222.4671
2014,11,CE,4861.496442
2014,11,DF,14031.23364
2014,11,ES,3131.707954
2014,11,GO,12833.77683
2014,11,MA,16739.06162
2014,11,MG,33738.228
2014,11,MS,198.9478199
2014,11,MT,12377.54201
2014,11,PA,10556.31784
2014,11,PB,2316.15293
2014,11,PE,10379.88464
2014,11,PI,151.1486155
2014,11,PR,7741.420382
2014,11,RJ,9822.920853
2014,11,RN,3092.69944
2014,11,RO,0
2014,11,RR,0
2014,11,RS,60890.0621
2014,11,SC,8809.446122
2014,11,SE,509.9946618
2014,11,SP,63694.71309
2014,11,TO,2213.307109
2014,12,AL,1676.253665
2014,12,AM,430.8707989
2014,12,BA,21882.36611
2014,12,CE,5082.831164
2014,12,DF,17376.26785
2014,12,ES,5721.915284
2014,12,GO,14719.01913
2014,12,MA,18104.67904
2014,12,MG,35033.1997
2014,12,MS,816.562912
2014,12,MT,14606.9384
2014,12,PA,12452.08837
2014,12,PB,2551.329083
2014,12,PE,10690.2138
2014,12,PI,68.22730043
2014,12,PR,7372.887091
2014,12,RJ,13919.21778
2014,12,RN,3383.241026
2014,12,RO,0
2014,12,RR,0
2014,12,RS,68029.5097
2014,12,SC,10113.69729
2014,12,SE,963.7499617
2014,12,SP,61269.86958
2014,12,TO,2849.947958
2015,1,AL,849.8523079
2015,1,AM,89.10238296
2015,1,BA,17150.0764
2015,1,CE,4143.016442
2015,1,DF,20730.45986
2015,1,ES,7160.368554
2015,1,GO,15229.03798
2015,1,MA,22676.99553
2015,1,MG,36886.26173
2015,1,MS,1633.861992
2015,1,MT,6106.073646
2015,1,PA,6854.089165
2015,1,PB,1409.36841
2015,1,PE,8144.598278
2015,1,PI,468.3225467
2015,1,PR,9116.832042
2015,1,RJ,13140.84857
2015,1,RN,4291.999311
2015,1,RO,671.8524508
2015,1,RR,0
2015,1,RS,63647.1872
2015,1,SC,7213.602592
2015,1,SE,1237.174377
2015,1,SP,69334.97238
2015,1,TO,79.92884806
2015,2,AL,859.4132598
2015,2,AM,0
2015,2,BA,19681.6461
2015,2,CE,3482.666916
2015,2,DF,26814.53663
2015,2,ES,5671.624091
2015,2,GO,15702.21294
2015,2,MA,12838.01755
2015,2,MG,35217.6555
2015,2,MS,2149.418126
2015,2,MT,6177.621004
2015,2,PA,10234.81229
2015,2,PB,1894.095894
2015,2,PE,8426.475513
2015,2,PI,663.1370076
2015,2,PR,9929.631422
2015,2,RJ,8542.241713
2015,2,RN,3816.130583
2015,2,RO,0
2015,2,RR,0
2015,2,RS,51301.24745
2015,2,SC,5549.643866
2015,2,SE,183.6841186
2015,2,SP,73118.69897
2015,2,TO,369.4000547
2015,3,AL,1153.485718
2015,3,AM,200.3884853
2015,3,BA,22209.1331
2015,3,CE,6122.482327
2015,3,DF,29925.67342
2015,3,ES,4970.150988
2015,3,GO,14534.04778
2015,3,MA,8036.446348
2015,3,MG,37518.04274
2015,3,MS,1461.881712
2015,3,MT,3180.45153
2015,3,PA,12602.68711
2015,3,PB,2164.725413
2015,3,PE,8812.491427
2015,3,PI,142.8549619
2015,3,PR,15415.25254
2015,3,RJ,8885.193489
2015,3,RN,4120.388238
2015,3,RO,94.46885734
2015,3,RR,0
2015,3,RS,48605.62488
2015,3,SC,6018.557642
2015,3,SE,199.1469037
2015,3,SP,85061.20557
2015,3,TO,584.1398099
2015,4,AL,1001.81819
2015,4,AM,0
2015,4,BA,22005.43045
2015,4,CE,4802.797178
2015,4,DF,21005.45572
2015,4,ES,4707.736515
2015,4,GO,14667.12568
2015,4,MA,4230.91196
2015,4,MG,35719.27632
2015,4,MS,593.4082028
2015,4,MT,6118.491869
2015,4,PA,10656.82575
2015,4,PB,1978.211933
2015,4,PE,9836.44328
2015,4,PI,183.9132461
2015,4,PR,12117.76605
2015,4,RJ,13399.5201
2015,4,RN,4074.575887
2015,4,RO,0
2015,4,RR,0
2015,4,RS,52601.84188
2015,4,SC,6535.03246
2015,4,SE,245.9636384
2015,4,SP,97489.22669
2015,4,TO,0
2015,5,AL,615.3876708
2015,5,AM,0
2015,5,BA,20543.89968
2015,5,CE,3167.769141
2015,5,DF,19241.29296
2015,5,ES,5024.32647
2015,5,GO,14524.47379
2015,5,MA,13765.38411
2015,5,MG,41227.19568
2015,5,MS,976.3951356
2015,5,MT,10347.15462
2015,5,PA,11498.77857
2015,5,PB,1241.047871
2015,5,PE,6212.566523
2015,5,PI,677.4316658
2015,5,PR,12196.5401
