%Confiança,Ano,Estado,Microrregião,Mês,Produto,Produção,Produção Max,Produção Mín,Tipo,Tipo Ajustado,UF
70,2019,minas gerais,MG_Outros,12,Milho_1,0.009312871986372664,0.7266497952909207,0.0,Prevista,Prevista,MG
75,2019,minas gerais,MG_Outros,2,Milho_1,2.99584186080167,23.5025487427769,0.2842687219235536,Prevista,Prevista,MG
75,2019,minas gerais,MG_Outros,3,Milho_1,200.73110701947238,1518.9072142854448,26.430525978103198,Prevista,Prevista,MG
75,2019,minas gerais,MG_Outros,4,Milho_1,365.20050069142485,2762.733389847261,48.1780836242523,Prevista,Prevista,MG
75,2019,minas gerais,MG_Outros,5,Milho_1,91.90955950025518,695.9268028690599,12.041205114321668,Prevista,Prevista,MG
75,2019,minas gerais,MG_Outros,6,Milho_1,0.02576804289483124,1.04088900423709,0.0,Prevista,Prevista,MG
75,2019,minas gerais,MG_Outros,7,Milho_1,0.008787308903563938,0.9124694791993908,0.0,Prevista,Prevista,MG
75,2019,minas gerais,MG_Outros,8,Milho_1,0.012149550138767591,0.9378969679468788,0.0,Prevista,Prevista,MG
75,2019,minas gerais,MG_Outros,9,Milho_1,0.014293588070796247,0.9541115987770606,0.0,Prevista,Prevista,MG
75,2019,minas gerais,MG_Outros,10,Milho_1,0.012714121232347506,0.9421666274165352,0.0,Prevista,Prevista,MG
75,2019,minas gerais,MG_Outros,11,Milho_1,0.010005052946154126,0.9216788638848435,0.0,Prevista,Prevista,MG
75,2019,minas gerais,MG_Outros,12,Milho_1,0.009312871986372664,0.9164441343295144,0.0,Prevista,Prevista,MG
80,2019,minas gerais,MG_Outros,2,Milho_1,2.99584186080167,29.636171583056587,0.1991252545729336,Prevista,Prevista,MG
80,2019,minas gerais,MG_Outros,3,Milho_1,200.73110701947238,1913.177982652656,20.957483183015594,Prevista,Prevista,MG
80,2019,minas gerais,MG_Outros,4,Milho_1,365.20050069142485,3479.8432882763336,38.22357145197825,Prevista,Prevista,MG
80,2019,minas gerais,MG_Outros,5,Milho_1,91.90955950025518,876.590328279182,9.533336701515372,Prevista,Prevista,MG
80,2019,minas gerais,MG_Outros,6,Milho_1,0.02576804289483124,1.344514991089638,0.0,Prevista,Prevista,MG
80,2019,minas gerais,MG_Outros,7,Milho_1,0.008787308903563938,1.1827637605767676,0.0,Prevista,Prevista,MG
80,2019,minas gerais,MG_Outros,8,Milho_1,0.012149550138767591,1.214791036744863,0.0,Prevista,Prevista,MG
80,2019,minas gerais,MG_Outros,9,Milho_1,0.014293588070796247,1.2352142277535827,0.0,Prevista,Prevista,MG
80,2019,minas gerais,MG_Outros,10,Milho_1,0.012714121232347506,1.2201689002191691,0.0,Prevista,Prevista,MG
80,2019,minas gerais,MG_Outros,11,Milho_1,0.010005052946154126,1.1943634710156663,0.0,Prevista,Prevista,MG
80,2019,minas gerais,MG_Outros,12,Milho_1,0.009312871986372664,1.1877700503755568,0.0,Prevista,Prevista,MG
85,2019,minas gerais,MG_Outros,2,Milho_1,2.99584186080167,39.16971216798963,0.1195456612513512,Prevista,Prevista,MG
85,2019,minas gerais,MG_Outros,3,Milho_1,200.73110701947238,2525.9962907816407,15.842087564099536,Prevista,Prevista,MG
