Year,Month,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,lag6_sum_prod,lag9_sum_prod,lag12_sum_prod,CBOT_lag1,CBOT_lag2,CBOT_lag3,Year,Month,US_EXPORT,Inflation Rate,Interest_Rate,Real_vs_USD,Yaun_vs_USD,CBOT,Soya_Price_Metric_Ton,Soya_Price_Metric_Ton_lag_1,Soya_Price_Metric_Ton_lag_2
2015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2358.137,5171.117,6475.210999999999,776.215,0.0,-0.0,2358.137,14780.68,10.35,10.33,9.68,2015,1,26.67,7.14,11.75,2.63,6.22,10.03,434.51,446.0,449.0
2015,2,2588.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2358.137,5171.117,6475.210999999999,776.215,2588.84,2588.84,16593.305,10.03,10.35,10.33,2015,2,14.51,7.7,12.25,2.82,6.25,9.94,424.71,434.51,446.0
2015,3,3952.198,2588.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2358.137,5171.117,6475.210999999999,6541.038,6541.038,14070.292,9.94,10.03,10.35,2015,3,8.14,8.13,12.75,3.14,6.24,9.81,412.18,424.71,434.51
2015,4,6467.727,3952.198,2588.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2358.137,5171.117,13008.765,13008.765,15366.902,9.81,9.94,10.03,2015,4,5.28,8.17,12.75,3.04,6.2,9.73,408.51,412.18,424.71
2015,5,4168.884,6467.727,3952.198,2588.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2358.137,17177.649,17177.649,17177.649,9.73,9.81,9.94,2015,5,3.28,8.47,13.25,3.06,6.2,9.52,408.04,408.51,412.18
2015,6,32.842,4168.884,6467.727,3952.198,2588.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17210.491,17210.491,17210.491,9.52,9.73,9.81,2015,6,3.18,8.89,13.75,3.11,6.21,9.58,405.32,408.04,408.51
2015,7,0.0,32.842,4168.884,6467.727,3952.198,2588.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17210.491,17210.491,17210.491,9.58,9.52,9.73,2015,7,3.26,9.56,13.75,3.23,6.21,10.01,423.18,405.32,408.04
2015,8,0.0,0.0,32.842,4168.884,6467.727,3952.198,2588.84,0.0,0.0,0.0,0.0,0.0,0.0,14621.651,17210.491,17210.491,10.01,9.58,9.52,2015,8,3.04,9.53,14.25,3.52,6.34,9.21,401.64,423.18,405.32
2015,9,0.0,0.0,0.0,32.842,4168.884,6467.727,3952.198,2588.84,0.0,0.0,0.0,0.0,0.0,10669.453,17210.491,17210.491,9.21,10.01,9.58,2015,9,4.85,9.49,14.25,3.9,6.37,8.76,378.26,401.64,423.18
2015,10,0.0,0.0,0.0,0.0,32.842,4168.884,6467.727,3952.198,2588.84,0.0,0.0,0.0,0.0,4201.726,17210.491,17210.491,8.76,9.21,10.01,2015,10,29.28,9.93,14.25,3.88,6.35,8.92,384.91,378.26,401.64
2015,11,0.0,0.0,0.0,0.0,0.0,32.842,4168.884,6467.727,3952.198,2588.84,0.0,0.0,0.0,32.842,14621.651,17210.491,8.92,8.76,9.21,2015,11,26.26,10.48,14.25,3.79,6.36,8.67,371.08,384.91,378.26
2015,12,0.0,0.0,0.0,0.0,0.0,0.0,32.842,4168.884,6467.727,3952.198,2588.84,0.0,0.0,-0.0,10669.453,17210.491,8.67,8.92,8.76,2015,12,23.89,10.67,14.25,3.88,6.45,8.79,375.63,371.08,384.91
2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.842,4168.884,6467.727,3952.198,2588.84,0.0,-0.0,4201.726,17210.491,8.79,8.67,8.92,2016,1,16.51,10.71,14.25,4.06,6.57,8.73,374.18,375.63,371.08
2016,2,3120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.842,4168.884,6467.727,3952.198,2588.84,3120.22,3153.062,17741.871,8.73,8.79,8.67,2016,2,17.45,10.36,14.25,3.96,6.55,8.74,373.79,374.18,375.63
2016,3,6011.151999999999,3120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.842,4168.884,6467.727,3952.198,9131.372,9131.372,19800.825,8.74,8.73,8.79,2016,3,9.45,9.39,14.25,3.7,6.5,8.94,370.48,373.79,374.18
2016,4,4782.340999999999,6011.151999999999,3120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.842,4168.884,6467.727,13913.713,13913.713,18115.439,8.94,8.74,8.73,2016,4,3.98,9.28,14.25,3.56,6.48,9.68,394.9,370.48,373.79
2016,5,2862.3320000000003,4782.340999999999,6011.151999999999,3120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.842,4168.884,16776.045,16776.045,16808.887,9.68,8.94,8.74,2016,5,2.41,9.32,14.25,3.54,6.53,10.62,434.61,394.9,370.48
2016,6,68.473,2862.3320000000003,4782.340999999999,6011.151999999999,3120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.842,16844.518,16844.518,16844.518,10.62,9.68,8.94,2016,6,3.21,8.84,14.25,3.42,6.59,11.46,485.09,434.61,394.9
2016,7,0.0,68.473,2862.3320000000003,4782.340999999999,6011.151999999999,3120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16844.518,16844.518,16844.518,11.46,10.62,9.68,2016,7,6.66,8.74,14.25,3.28,6.68,10.64,462.77,485.09,434.61
2016,8,0.0,0.0,68.473,2862.3320000000003,4782.340999999999,6011.151999999999,3120.22,0.0,0.0,0.0,0.0,0.0,0.0,13724.298,16844.518,16844.518,10.64,11.46,10.62,2016,8,11.55,8.97,14.25,3.21,6.65,10.08,423.21,462.77,485.09
2016,9,0.0,0.0,0.0,68.473,2862.3320000000003,4782.340999999999,6011.151999999999,3120.22,0.0,0.0,0.0,0.0,0.0,7713.146,16844.518,16844.518,10.08,10.64,11.46,2016,9,13.85,8.48,14.25,3.25,6.67,9.69,405.64,423.21,462.77
2016,10,0.0,0.0,0.0,0.0,68.473,2862.3320000000003,4782.340999999999,6011.151999999999,3120.22,0.0,0.0,0.0,0.0,2930.805,16844.518,16844.518,9.69,10.08,10.64,2016,10,30.04,7.87,14.25,3.19,6.73,9.75,411.51,405.64,423.21
2016,11,0.0,0.0,0.0,0.0,0.0,68.473,2862.3320000000003,4782.340999999999,6011.151999999999,3120.22,0.0,0.0,0.0,68.473,13724.298,16844.518,9.75,9.69,10.08,2016,11,33.3,6.99,14.0,3.34,6.84,10.04,417.18,411.51,405.64
2016,12,0.0,0.0,0.0,0.0,0.0,0.0,68.473,2862.3320000000003,4782.340999999999,6011.151999999999,3120.22,0.0,0.0,0.0,7713.146,16844.518,10.04,9.75,9.69,2016,12,27.43,6.29,13.75,3.35,6.92,10.22,420.89,417.18,411.51
2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.473,2862.3320000000003,4782.340999999999,6011.151999999999,3120.22,0.0,0.0,2930.805,16844.518,10.22,10.04,9.75,2017,1,17.78,5.35,13.0,3.19,6.89,10.32,423.24,420.89,417.18
2017,2,994.6160000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.473,2862.3320000000003,4782.340999999999,6011.151999999999,3120.22,994.616,1063.089,14718.914,10.32,10.22,10.04,2017,2,14.4,4.76,13.0,3.11,6.87,10.36,424.51,423.24,420.89
2017,3,7230.263000000001,994.6160000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.473,2862.3320000000003,4782.340999999999,6011.151999999999,8224.879,8224.879,15938.025,10.36,10.32,10.22,2017,3,12.04,4.57,12.25,3.13,6.89,9.96,409.53,424.51,423.24
2017,4,8569.484,7230.263000000001,994.6160000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.473,2862.3320000000003,4782.340999999999,16794.363,16794.363,19725.168,9.96,10.36,10.32,2017,4,7.89,4.08,11.25,3.14,6.89,9.47,388.88,409.53,424.51
2017,5,2563.384,8569.484,7230.263000000001,994.6160000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.473,2862.3320000000003,19357.747,19357.747,19426.22,9.47,9.96,10.36,2017,5,4.0,3.6,11.25,3.2,6.88,9.52,390.42,388.88,409.53
2017,6,228.511,2563.384,8569.484,7230.263000000001,994.6160000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.473,19586.258,19586.258,19586.258,9.52,9.47,9.96,2017,6,5.35,3.0,10.25,3.3,6.81,9.24,380.13,390.42,388.88
2017,7,0.0,228.511,2563.384,8569.484,7230.263000000001,994.6160000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19586.258,19586.258,19586.258,9.24,9.52,9.47,2017,7,5.81,2.71,10.25,3.2,6.77,9.93,388.18,380.13,390.42
2017,8,0.0,0.0,228.511,2563.384,8569.484,7230.263000000001,994.6160000000001,0.0,0.0,0.0,0.0,0.0,0.0,18591.642,19586.258,19586.258,9.93,9.24,9.52,2017,8,10.64,2.46,9.25,3.15,6.67,9.4,371.05,388.18,380.13
2017,9,0.0,0.0,0.0,228.511,2563.384,8569.484,7230.263000000001,994.6160000000001,0.0,0.0,0.0,0.0,0.0,11361.379,19586.258,19586.258,9.4,9.93,9.24,2017,9,12.17,2.54,8.25,3.13,6.57,9.62,377.71,371.05,388.18
2017,10,0.0,0.0,0.0,0.0,228.511,2563.384,8569.484,7230.263000000001,994.6160000000001,0.0,0.0,0.0,0.0,2791.895,19586.258,19586.258,9.62,9.4,9.93,2017,10,25.15,2.7,8.25,3.19,6.63,9.75,417.7,377.71,371.05
2017,11,0.0,0.0,0.0,0.0,0.0,228.511,2563.384,8569.484,7230.263000000001,994.6160000000001,0.0,0.0,0.0,228.511,18591.642,19586.258,9.75,9.62,9.4,2017,11,33.26,2.8,7.5,3.26,6.62,9.84,419.02,417.7,377.71
