Ano,Mes,Estado,UF.1,Produção Med (Kt)
2013,9,PIAUÍ,PI,0.0
2013,9,PARANÁ,PR,0.0
2013,9,RIO DE JANEIRO,RJ,0.0
2013,9,RIO GRANDE DO NORTE,RN,0.0
2013,9,RONDÔNIA,RO,0.0
2013,9,RORAIMA,RR,0.0
2013,9,RIO GRANDE DO SUL,RS,0.0
2013,9,SANTA CATARINA,SC,0.0
2013,9,SERGIPE,SE,0.0
2013,9,SÃO PAULO,SP,0.0
2013,9,TOCANTINS,TO,0.0
2013,10,ACRE,AC,0.0
2013,10,ALAGOAS,AL,0.0
2013,10,AMAZONAS,AM,0.0
2013,10,AMAPÁ,AP,0.0
2013,10,BAHIA,BA,0.0
2013,10,CEARÁ,CE,0.0
2013,10,DISTRITO FEDERAL,DF,0.0
2013,10,ESPÍRITO SANTO,ES,0.0
2013,10,GOIÁS,GO,0.0
2013,10,MARANHÃO,MA,0.0
2013,10,MINAS GERAIS,MG,0.0
2013,10,MATO GROSSO DO SUL,MS,0.0
2013,10,MATO GROSSO,MT,0.0
2013,10,PARÁ,PA,0.0
2013,10,PARAÍBA,PB,0.0
2013,10,PERNAMBUCO,PE,0.0
2013,10,PIAUÍ,PI,0.0
2013,10,PARANÁ,PR,0.0
2013,10,RIO DE JANEIRO,RJ,0.0
2013,10,RIO GRANDE DO NORTE,RN,0.0
2013,10,RONDÔNIA,RO,0.0
2013,10,RORAIMA,RR,0.0
2013,10,RIO GRANDE DO SUL,RS,0.0
2013,10,SANTA CATARINA,SC,0.0
2013,10,SERGIPE,SE,0.0
2013,10,SÃO PAULO,SP,0.0
2013,10,TOCANTINS,TO,0.0
2013,11,ACRE,AC,0.0
2013,11,ALAGOAS,AL,0.0
2013,11,AMAZONAS,AM,0.0
2013,11,AMAPÁ,AP,0.0
2013,11,BAHIA,BA,0.0
2013,11,CEARÁ,CE,0.0
2013,11,DISTRITO FEDERAL,DF,0.0
2013,11,ESPÍRITO SANTO,ES,0.0
2013,11,GOIÁS,GO,0.0
2013,11,MARANHÃO,MA,0.0
2013,11,MINAS GERAIS,MG,0.0
2013,11,MATO GROSSO DO SUL,MS,0.0
2013,11,MATO GROSSO,MT,0.0
2013,11,PARÁ,PA,0.0
2013,11,PARAÍBA,PB,0.0
2013,11,PERNAMBUCO,PE,0.0
2013,11,PIAUÍ,PI,0.0
2013,11,PARANÁ,PR,0.0
2013,11,RIO DE JANEIRO,RJ,0.0
2013,11,RIO GRANDE DO NORTE,RN,0.0
2013,11,RONDÔNIA,RO,0.0
2013,11,RORAIMA,RR,0.0
2013,11,RIO GRANDE DO SUL,RS,0.0
2013,11,SANTA CATARINA,SC,0.0
2013,11,SERGIPE,SE,0.0
2013,11,SÃO PAULO,SP,0.0
2013,11,TOCANTINS,TO,0.0
2013,12,ACRE,AC,0.0
2013,12,ALAGOAS,AL,0.0
2013,12,AMAZONAS,AM,0.0
2013,12,AMAPÁ,AP,0.0
2013,12,BAHIA,BA,0.0
2013,12,CEARÁ,CE,0.0
2013,12,DISTRITO FEDERAL,DF,0.0
2013,12,ESPÍRITO SANTO,ES,0.0
2013,12,GOIÁS,GO,0.0
2013,12,MARANHÃO,MA,0.0
2013,12,MINAS GERAIS,MG,0.0
2013,12,MATO GROSSO DO SUL,MS,0.0
2013,12,MATO GROSSO,MT,0.0
2013,12,PARÁ,PA,0.0
2013,12,PARAÍBA,PB,0.0
2013,12,PERNAMBUCO,PE,0.0
2013,12,PIAUÍ,PI,0.0
2013,12,PARANÁ,PR,0.0
2013,12,RIO DE JANEIRO,RJ,0.0
2013,12,RIO GRANDE DO NORTE,RN,0.0
2013,12,RONDÔNIA,RO,0.0
2013,12,RORAIMA,RR,0.0
2013,12,RIO GRANDE DO SUL,RS,0.0
2013,12,SANTA CATARINA,SC,0.0
2013,12,SERGIPE,SE,0.0
2013,12,SÃO PAULO,SP,0.0
