Ano,Mes,CBOT_Soyameal
2000,7,156.29700000000003
2000,8,154.59913043478264
2000,9,169.44300000000004
2000,10,167.7681818181818
2000,11,176.1019047619048
2000,12,190.57300000000004
2001,1,177.41904761904766
2001,2,161.95999999999995
2001,3,153.43636363636364
2001,4,153.00900000000001
2001,5,159.81363636363633
2001,6,167.40285714285716
2001,7,173.8952380952381
2001,8,169.17739130434785
2001,9,165.65058823529415
2001,10,160.65217391304347
2001,11,161.0809523809524
2001,12,149.35473684210524
2002,1,151.6095238095238
2002,2,149.93789473684214
2002,3,157.0
2002,4,159.33636363636367
2002,5,162.00454545454542
2002,6,168.243
2002,7,182.56636363636363
2002,8,179.34818181818184
2002,9,180.00900000000004
2002,10,169.44347826086957
2002,11,166.94099999999997
2002,12,165.46
2003,1,168.45714285714286
2003,2,174.37894736842102
2003,3,172.7285714285714
2003,4,181.5580952380952
2003,5,193.94285714285712
2003,6,190.83238095238093
2003,7,178.66545454545457
2003,8,177.49238095238096
2003,9,190.51047619047617
2003,10,223.1739130434783
2003,11,238.44421052631577
2003,12,232.53272727272727
2004,1,253.57500000000005
2004,2,259.918947368421
2004,3,301.3304347826087
2004,4,311.6466666666667
2004,5,298.85
2004,6,280.63428571428574
2004,7,247.33428571428573
2004,8,188.48272727272732
2004,9,164.69904761904766
2004,10,156.80952380952382
2004,11,154.46857142857144
2004,12,159.3295238095238
2005,1,158.07000000000002
2005,2,162.11263157894737
2005,3,189.66818181818186
2005,4,190.6742857142857
2005,5,197.0952380952381
2005,6,218.88363636363636
2005,7,216.20199999999994
2005,8,196.70782608695652
2005,9,176.28380952380954
2005,10,170.60952380952384
2005,11,174.52190476190475
2005,12,189.84000000000003
2006,1,183.91500000000002
2006,2,180.21368421052625
2006,3,175.47826086956525
2006,4,172.9463157894737
2006,5,175.79090909090914
2006,6,178.19636363636366
2006,7,170.601
2006,8,160.26608695652178
2006,9,161.445
2006,10,177.00909090909087
2006,11,194.57809523809524
2006,12,188.474
2007,1,203.17142857142858
2007,2,222.10421052631577
2007,3,219.71818181818188
2007,4,201.774
2007,5,208.9681818181818
2007,6,226.25809523809525
2007,7,229.88095238095238
2007,8,229.384347826087
2007,9,263.2610526315789
2007,10,275.1
2007,11,287.097
2007,12,320.472
2008,1,343.87142857142857
2008,2,360.604
2008,3,345.78947368421063
2008,4,340.9572727272727
2008,5,338.075
2008,6,395.526
2008,7,407.318
2008,8,349.08666666666664
2008,9,325.1285714285715
2008,10,264.69090909090914
2008,11,265.461052631579
2008,12,264.87909090909085
2009,1,306.86
2009,2,292.4833333333333
2009,3,281.2045454545455
2009,4,316.1628571428571
2009,5,361.79499999999996
2009,6,397.34999999999997
2009,7,336.48636363636365
2009,8,335.8885714285714
2009,9,289.45047619047625
2009,10,291.9571428571429
2009,11,305.2389999999999
2009,12,308.54272727272723
2010,1,290.4777777777778
2010,2,274.77333333333337
2010,3,265.36956521739125
2010,4,279.58476190476193
2010,5,277.45000000000005
2010,6,284.27
2010,7,297.59619047619043
2010,8,300.820909090909
2010,9,301.0168421052631
2010,10,322.7333333333333
2010,11,341.35047619047623
2010,12,352.0627272727273
2011,1,376.09000000000003
2011,2,372.618947368421
2011,3,359.29545454545456
2011,4,352.8821052631579
2011,5,354.30000000000007
2011,6,355.4045454545454
2011,7,354.0463157894737
2011,8,357.9904347826087
2011,9,347.4647619047618
2011,10,316.6666666666667
2011,11,298.7
2011,12,292.06571428571425
2012,1,316.315
2012,2,330.89200000000005
2012,3,369.37619047619046
2012,4,399.8750000000001
2012,5,416.89545454545447
2012,6,420.4380952380952
2012,7,493.85809523809525
2012,8,521.1521739130435
2012,9,505.4105263157894
2012,10,469.59999999999997
2012,11,444.3857142857143
2012,12,440.7369999999999
2013,1,414.16190476190474
2013,2,425.5915789473684
2013,3,424.9500000000001
2013,4,403.6518181818182
2013,5,421.8636363636364
2013,6,452.32000000000005
2013,7,449.6636363636364
2013,8,412.24090909090916
2013,9,426.467
2013,10,412.5782608695652
2013,11,417.062
2013,12,436.3819047619047
2014,1,421.46666666666664
2014,2,451.71473684210525
2014,3,455.6952380952381
2014,4,483.14952380952377
2014,5,487.5190476190476
2014,6,468.86380952380944
2014,7,393.62272727272733
2014,8,382.30666666666673
2014,9,334.1133333333334
2014,10,335.64347826086953
2014,11,381.6757894736842
2014,12,364.95454545454544
2015,1,338.11499999999995
2015,2,338.3652631578948
2015,3,326.3863636363636
2015,4,317.0609523809524
2015,5,307.6
2015,6,320.38818181818186
2015,7,352.85272727272724
2015,8,330.40285714285704
2015,9,309.42857142857144
2015,10,307.11818181818177
2015,11,290.695
2015,12,275.61818181818177
2016,1,270.3894736842105
2016,2,264.626
2016,3,269.85909090909087
2016,4,297.5590476190476
2016,5,369.947619047619
2016,6,402.2872727272727
2016,7,364.96299999999985
2016,8,329.84521739130435
2016,9,308.3561904761905
2016,10,306.7333333333334
2016,11,313.8238095238095
2016,12,314.8657142857143
2017,1,332.49
2017,2,337.34631578947375
2017,3,325.59999999999997
2017,4,311.2705263157894
2017,5,311.26818181818186
2017,6,299.89090909090913
2017,7,325.081
2017,8,299.99652173913046
2017,9,306.421
2017,10,316.99545454545455
2017,11,317.63523809523815
2017,12,324.015
2018,1,327.7857142857143
2018,2,360.7115789473684
2018,3,376.47142857142853
2018,4,381.024761904762
2018,5,383.70454545454544
2018,6,345.81999999999994
2018,7,330.2666666666666
2018,8,322.57565217391306
2018,9,309.1484210526316
2018,10,313.95217391304357
2018,11,307.53904761904766
2018,12,309.714
2019,1,314.5190476190476
2019,2,307.08526315789476
2019,3,308.7944444444445
2019,4,311.57243482383
2019,5,318.067038444086
2019,6,326.588489551953
2019,7,324.02659447717497
2019,8,317.529705932495
2019,9,314.427518668266
2019,10,312.348260931635
2019,11,316.116318209423
2019,12,316.595233237494
