Year,Month,Estado,UF,Tonnes,Argentina_Production,Exchange_Rate,Interest_Rate,Soya_Prod,Biodiesel_Prod,Biodiesel_Consump,CBOT_Soya,CBOT_Soyameal
2012.0,5.0,RONDÔNIA,RO,0.0,0.0,1.9810227272727277,7.9716,0.0,514.275,0.0,14.189090909090908,416.89545454545447
2012.0,5.0,RORAIMA,RR,0.0,0.0,1.9810227272727277,7.9716,2.59,0.0,0.0,14.189090909090908,416.89545454545447
2012.0,5.0,RIO GRANDE DO SUL,RS,215949.62099999998,0.0,1.9810227272727277,7.9716,926.5260000000001,70120.78,42851.54628,14.189090909090908,416.89545454545447
2012.0,5.0,SANTA CATARINA,SC,21886.999,0.0,1.9810227272727277,7.9716,29.271,0.0,4329.950695,14.189090909090908,416.89545454545447
2012.0,5.0,SERGIPE,SE,0.0,0.0,1.9810227272727277,7.9716,0.0,0.0,354.31416939999997,14.189090909090908,416.89545454545447
2012.0,5.0,SÃO PAULO,SP,45313.776,0.0,1.9810227272727277,7.9716,0.0,1899.467,38267.16176,14.189090909090908,416.89545454545447
2012.0,5.0,TOCANTINS,TO,0.0,0.0,1.9810227272727277,7.9716,69.14699999999999,11242.032,1642.181207,14.189090909090908,416.89545454545447
2012.0,6.0,ACRE,AC,0.0,0.0,2.048195238095238,7.6076,0.0,0.0,0.0,14.193738095238094,420.4380952380952
2012.0,6.0,ALAGOAS,AL,0.0,0.0,2.048195238095238,7.6076,0.0,0.0,648.6537385,14.193738095238094,420.4380952380952
2012.0,6.0,AMAZONAS,AM,0.0,0.0,2.048195238095238,7.6076,0.0,0.0,69.77778494,14.193738095238094,420.4380952380952
2012.0,6.0,AMAPÁ,AP,0.0,0.0,2.048195238095238,7.6076,0.0,0.0,0.0,14.193738095238094,420.4380952380952
2012.0,6.0,BAHIA,BA,60980.184,0.0,2.048195238095238,7.6076,0.0,19132.952,19696.05525,14.193738095238094,420.4380952380952
2012.0,6.0,CEARÁ,CE,0.0,0.0,2.048195238095238,7.6076,0.0,5387.96,3296.021375,14.193738095238094,420.4380952380952
2012.0,6.0,DISTRITO FEDERAL,DF,0.0,0.0,2.048195238095238,7.6076,44.0,0.0,10837.05601,14.193738095238094,420.4380952380952
2012.0,6.0,ESPÍRITO SANTO,ES,0.0,0.0,2.048195238095238,7.6076,0.0,0.0,2943.390884,14.193738095238094,420.4380952380952
2012.0,6.0,GOIÁS,GO,118658.228,0.0,2.048195238095238,7.6076,0.0,49756.242999999995,12637.935870000001,14.193738095238094,420.4380952380952
